                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.63796,                0.33997,                0.94802,                0.95426,                0.98226,                0.98198,                0.78065,                0.83624,                0.38514,                 1.0897,               0.006931,               0.006931,               0.006931
                     95,                0.63882,                0.34135,                0.94962,                 0.9381,                0.96945,                0.98262,                0.78578,                0.81492,                 0.3814,                 1.0757,               0.006898,               0.006898,               0.006898
                     96,                0.61768,                0.33634,                0.95039,                0.94897,                0.97773,                0.98322,                 0.7824,                0.81792,                0.38568,                  1.064,               0.006865,               0.006865,               0.006865
                     97,                0.62587,                0.33908,                0.94573,                0.95616,                0.97586,                 0.9828,                0.78492,                0.84804,                 0.3803,                 1.0772,               0.006832,               0.006832,               0.006832
                     98,                0.61316,                0.33016,                0.94375,                0.95641,                 0.9809,                 0.9797,                0.78067,                0.83259,                0.36613,                 1.0744,               0.006799,               0.006799,               0.006799
                     99,                0.61023,                0.32765,                0.94216,                0.95484,                0.98121,                0.98007,                0.78935,                0.81557,                0.37302,                 1.0671,               0.006766,               0.006766,               0.006766
                    100,                0.60636,                0.33541,                0.93971,                 0.9746,                 0.9827,                0.98113,                0.77947,                0.87021,                0.37941,                 1.0961,               0.006733,               0.006733,               0.006733
                    101,                0.60656,                 0.3321,                 0.9438,                0.92297,                0.97447,                0.98535,                0.78751,                0.82749,                0.38513,                 1.0677,                 0.0067,                 0.0067,                 0.0067
                    102,                0.60311,                0.32882,                0.94192,                0.96577,                0.98373,                0.97943,                0.77344,                 0.8464,                0.36876,                 1.0857,               0.006667,               0.006667,               0.006667
                    103,                0.59124,                0.32686,                0.93535,                0.96975,                0.97983,                0.97871,                0.76965,                0.85592,                0.38903,                 1.0937,               0.006634,               0.006634,               0.006634
                    104,                0.60182,                0.33013,                0.94547,                0.96845,                0.98301,                0.98026,                0.78472,                0.85434,                0.37336,                 1.0843,               0.006601,               0.006601,               0.006601
                    105,                0.60276,                0.32751,                0.94262,                0.96138,                0.97245,                0.98467,                0.79054,                0.84126,                0.38131,                  1.085,               0.006568,               0.006568,               0.006568
                    106,                0.59199,                0.32464,                0.94021,                0.95094,                0.96455,                0.98179,                0.79214,                 0.8099,                0.36778,                 1.0699,               0.006535,               0.006535,               0.006535
                    107,                0.59265,                0.32597,                0.93415,                0.96604,                0.98218,                0.98541,                  0.786,                0.81942,                0.36942,                 1.0717,               0.006502,               0.006502,               0.006502
                    108,                0.58976,                0.32255,                0.93435,                0.97028,                 0.9835,                0.98298,                0.78842,                0.79952,                 0.3531,                 1.0709,               0.006469,               0.006469,               0.006469
                    109,                0.59047,                0.32326,                0.93422,                0.97329,                0.98336,                0.98825,                0.78857,                0.82765,                0.36554,                 1.0801,               0.006436,               0.006436,               0.006436
                    110,                0.56951,                  0.315,                0.93085,                0.96435,                0.98416,                0.98318,                0.79049,                0.82589,                 0.3562,                 1.0743,               0.006403,               0.006403,               0.006403
                    111,                0.57882,                0.32016,                0.94049,                0.95804,                0.98398,                0.98098,                 0.7767,                0.83867,                0.38143,                 1.0928,                0.00637,                0.00637,                0.00637
                    112,                0.58158,                0.32292,                0.92966,                0.96245,                0.98042,                0.98687,                0.78145,                0.83927,                0.37019,                  1.084,               0.006337,               0.006337,               0.006337
                    113,                 0.5663,                0.31983,                0.93193,                0.96748,                0.98325,                0.98152,                0.77691,                0.84522,                0.37276,                 1.0792,               0.006304,               0.006304,               0.006304
                    114,                0.54958,                 0.3071,                0.92217,                0.97209,                0.98279,                0.98124,                0.78351,                0.82902,                0.36982,                 1.0836,               0.006271,               0.006271,               0.006271
                    115,                0.56459,                0.31002,                0.92874,                0.94234,                 0.9829,                0.97964,                 0.7845,                0.82108,                 0.3627,                 1.0812,               0.006238,               0.006238,               0.006238
                    116,                0.54789,                 0.3081,                0.92045,                0.94232,                0.98507,                0.98155,                0.78298,                 0.8231,                0.36984,                 1.0736,               0.006205,               0.006205,               0.006205
                    117,                0.54959,                 0.3045,                0.92179,                0.96736,                0.97776,                0.98021,                 0.7895,                0.82032,                0.36076,                 1.0779,               0.006172,               0.006172,               0.006172
                    118,                0.54948,                0.30489,                0.92333,                0.96676,                0.98313,                0.97591,                0.77819,                0.82394,                0.35989,                 1.0744,               0.006139,               0.006139,               0.006139
                    119,                0.54186,                0.30202,                0.92085,                0.96515,                0.98187,                0.97657,                0.77245,                0.85354,                0.36498,                 1.0949,               0.006106,               0.006106,               0.006106
                    120,                0.54511,                0.30273,                0.92042,                0.96186,                 0.9759,                0.98407,                0.78462,                0.81991,                 0.3542,                 1.0802,               0.006073,               0.006073,               0.006073
                    121,                0.53847,                0.30398,                0.92088,                0.96001,                0.98158,                 0.9828,                 0.7831,                0.83536,                0.37076,                 1.0832,                0.00604,                0.00604,                0.00604
                    122,                 0.5389,                0.30609,                0.92265,                0.94734,                 0.9859,                 0.9805,                0.78162,                0.83704,                0.35878,                 1.0827,               0.006007,               0.006007,               0.006007
                    123,                0.53301,                0.30582,                0.91322,                 0.9654,                0.98461,                0.98043,                0.76916,                0.87228,                0.36107,                 1.1134,               0.005974,               0.005974,               0.005974
                    124,                0.53422,                0.30556,                0.92148,                0.95695,                0.97706,                0.98014,                0.78163,                 0.8387,                0.36016,                 1.0944,               0.005941,               0.005941,               0.005941
                    125,                0.53225,                0.30824,                0.92176,                0.97116,                0.98185,                0.98337,                0.78874,                0.83475,                0.35952,                 1.0825,               0.005908,               0.005908,               0.005908
                    126,                0.52342,                0.29714,                0.91296,                0.96171,                0.97699,                 0.9829,                0.78683,                0.82748,                0.35752,                 1.0769,               0.005875,               0.005875,               0.005875
                    127,                0.53364,                0.30308,                0.91758,                0.95829,                0.98835,                0.98093,                0.78791,                0.82656,                0.35714,                 1.0732,               0.005842,               0.005842,               0.005842
                    128,                0.52166,                0.29316,                0.91245,                0.93917,                0.98421,                0.97955,                0.78872,                0.82178,                0.35585,                 1.0724,               0.005809,               0.005809,               0.005809
                    129,                0.53065,                0.30155,                0.92099,                0.95942,                0.97314,                0.98465,                0.78828,                0.83652,                0.35744,                   1.08,               0.005776,               0.005776,               0.005776
                    130,                0.51796,                 0.2967,                0.91607,                0.95401,                0.98262,                0.98259,                 0.7869,                0.83275,                0.36871,                 1.0846,               0.005743,               0.005743,               0.005743
                    131,                0.51665,                0.28837,                0.91561,                0.97481,                0.98319,                0.97697,                0.78364,                0.82502,                0.34937,                 1.0804,                0.00571,                0.00571,                0.00571
                    132,                0.52301,                0.29194,                0.91519,                0.95892,                 0.9772,                0.97977,                0.79674,                0.80145,                0.34782,                 1.0661,               0.005677,               0.005677,               0.005677
                    133,                0.50688,                0.29092,                0.90828,                0.95722,                0.97863,                0.98001,                0.78901,                0.80779,                0.34467,                 1.0703,               0.005644,               0.005644,               0.005644
                    134,                 0.5026,                0.28843,                0.90819,                0.95303,                0.98728,                0.98017,                0.78916,                 0.8206,                0.34762,                 1.0737,               0.005611,               0.005611,               0.005611
                    135,                0.51621,                0.29685,                0.91508,                0.95934,                0.98443,                 0.9835,                0.79142,                0.83144,                0.36088,                 1.0711,               0.005578,               0.005578,               0.005578
                    136,                0.49536,                 0.2871,                0.90726,                0.97399,                0.98503,                0.98046,                0.78372,                0.83344,                0.35405,                 1.0729,               0.005545,               0.005545,               0.005545
                    137,                0.50705,                0.29162,                0.91302,                0.96996,                0.98746,                0.97891,                0.78292,                0.82941,                0.35135,                 1.0808,               0.005512,               0.005512,               0.005512
                    138,                 0.4961,                0.28826,                0.90634,                 0.9728,                  0.983,                0.98103,                0.79174,                0.81882,                0.35308,                 1.0728,               0.005479,               0.005479,               0.005479
                    139,                0.49385,                0.28848,                0.90535,                0.96527,                0.98248,                0.98274,                0.78799,                0.84529,                0.34934,                 1.0834,               0.005446,               0.005446,               0.005446
                    140,                0.49569,                0.29205,                0.90926,                0.96192,                0.98323,                0.97868,                0.77612,                0.83105,                0.35228,                 1.0843,               0.005413,               0.005413,               0.005413
                    141,                0.49074,                0.28211,                0.90802,                0.97307,                0.98299,                0.98042,                0.78485,                0.81761,                0.34917,                 1.0767,                0.00538,                0.00538,                0.00538
                    142,                0.48504,                0.28003,                0.90387,                0.97045,                0.98431,                0.97937,                0.78727,                0.81546,                0.34481,                 1.0756,               0.005347,               0.005347,               0.005347
                    143,                0.48582,                0.28139,                0.90586,                 0.9672,                0.98347,                0.98015,                0.77631,                0.86502,                 0.3501,                 1.0969,               0.005314,               0.005314,               0.005314
                    144,                0.47975,                0.27749,                0.90214,                0.96961,                0.98529,                0.98053,                0.78731,                0.83439,                0.34171,                 1.0789,               0.005281,               0.005281,               0.005281
                    145,                0.48771,                0.27966,                 0.9005,                0.96391,                0.98033,                0.97785,                0.78638,                0.82895,                0.34701,                 1.0792,               0.005248,               0.005248,               0.005248
                    146,                 0.4819,                0.27637,                0.90296,                0.94892,                0.98465,                0.98433,                0.78189,                0.86117,                0.35784,                  1.098,               0.005215,               0.005215,               0.005215
                    147,                0.48019,                 0.2839,                0.90632,                0.96487,                0.98667,                0.97783,                0.78041,                0.83904,                0.34229,                 1.0819,               0.005182,               0.005182,               0.005182
                    148,                0.47652,                0.27515,                0.90155,                0.96729,                 0.9888,                0.98188,                0.79293,                0.82694,                 0.3416,                 1.0764,               0.005149,               0.005149,               0.005149
                    149,                0.46724,                0.27229,                0.89134,                0.96579,                0.98316,                0.97913,                0.78848,                0.83017,                0.34625,                 1.0798,               0.005116,               0.005116,               0.005116
                    150,                0.47249,                0.26915,                0.90107,                 0.9713,                0.98554,                0.97917,                0.78428,                0.83743,                0.34744,                 1.0798,               0.005083,               0.005083,               0.005083
                    151,                 0.4721,                0.27572,                0.90291,                0.96905,                0.98172,                0.98304,                0.78461,                0.84511,                0.34248,                 1.1007,                0.00505,                0.00505,                0.00505
                    152,                0.47094,                0.27325,                0.89627,                0.96913,                0.98067,                0.98193,                 0.7869,                0.83184,                0.34553,                 1.0817,               0.005017,               0.005017,               0.005017
                    153,                0.47387,                0.27518,                0.89885,                0.97441,                0.98477,                0.98134,                0.78225,                0.84053,                0.34863,                  1.089,               0.004984,               0.004984,               0.004984
                    154,                0.46644,                0.27375,                0.90086,                0.96913,                0.98219,                0.97925,                0.78109,                0.83296,                0.34974,                 1.0862,               0.004951,               0.004951,               0.004951
                    155,                0.46392,                0.27082,                0.89535,                0.96742,                 0.9838,                0.97805,                0.78779,                0.82787,                0.35159,                 1.0874,               0.004918,               0.004918,               0.004918
                    156,                0.46397,                0.27503,                0.89401,                0.97281,                0.98394,                0.97888,                0.78738,                0.83198,                0.35436,                  1.092,               0.004885,               0.004885,               0.004885
                    157,                0.45125,                0.26252,                0.89513,                 0.9719,                 0.9791,                0.97822,                 0.7842,                0.82504,                0.34844,                 1.0861,               0.004852,               0.004852,               0.004852
                    158,                0.45337,                0.26728,                0.90041,                0.96291,                0.98119,                0.98044,                0.79255,                0.83185,                0.34252,                 1.0833,               0.004819,               0.004819,               0.004819
                    159,                0.46109,                0.26809,                0.89604,                0.95781,                0.98092,                0.98223,                0.78111,                0.85769,                0.36278,                 1.0971,               0.004786,               0.004786,               0.004786
